id,diacritics,no_diacritics
55253,"În cadrul dezbaterilor generale, reprezentanții opoziției au acuzat faptul că, prin aceste numiri votate de majoritatea PSD-ALDE, se politizează ANRE.","In cadrul dezbaterilor generale, reprezentantii opozitiei au acuzat faptul ca, prin aceste numiri votate de majoritatea PSD-ALDE, se politizeaza ANRE."
309916,"Cuvîntu-n vers devine un bici de foc, un steag, O trîmbiță de-alarmă.","Cuvintu-n vers devine un bici de foc, un steag, O trimbita de-alarma."
222454,"Dintre șesuri, cele mai mănoase sînt zăpodiile, nume ce-l poartă micile șesuri puțin scufundate față de vecinătate. În aceste zăpodii apa nu se scurge în lături, ci rămîne locului, păstrîndu-l jilav.","Dintre sesuri, cele mai manoase sint zapodiile, nume ce-l poarta micile sesuri putin scufundate fata de vecinatate. In aceste zapodii apa nu se scurge in laturi, ci ramine locului, pastrindu-l jilav."
271381,E dintre ai noștri.,E dintre ai nostri.
182728,"În condițiile unui cadru fiscal instabil, mulți dintre oamenii de afaceri și-au amânat planurile de investiții, de extindere a afacerilor, și asta mai cu seamă că provocările de ordin fiscal sunt însoțite și de perspectiva scumpirii semnificative a creditării în România”, au explicat analiștii de la KeysFin.","In conditiile unui cadru fiscal instabil, multi dintre oamenii de afaceri si-au amanat planurile de investitii, de extindere a afacerilor, si asta mai cu seama ca provocarile de ordin fiscal sunt insotite si de perspectiva scumpirii semnificative a creditarii in Romania”, au explicat analistii de la KeysFin."
333480,"Avu un moment noțiunea lucidă a nebuniei sale, dar se simțea mînată înainte.","Avu un moment notiunea lucida a nebuniei sale, dar se simtea minata inainte."
85676,"Este o zonă cu foarte mult potențial datorită expansiunii imobiliare“, a declarat Frédéric Lamy, directorul general al Leroy Merlin România.","Este o zona cu foarte mult potential datorita expansiunii imobiliare“, a declarat Frederic Lamy, directorul general al Leroy Merlin Romania."
61491,"Întrebată care este nivelul salarial pe care ar trebui să îl primească un muncitor pentru a nu pleca din țară, Oana Munteanu a spus: „Cred că un muncitor cu o calificare scăzută nu ar mai pleca din țară dacă ar primi undeva la  3.500 – 4.500  de lei pe lună, având în vedere că muncitorii specializați, cum ar fi electricienii, câștigă deja peste acest nivel în România“.","Intrebata care este nivelul salarial pe care ar trebui sa il primeasca un muncitor pentru a nu pleca din tara, Oana Munteanu a spus: „Cred ca un muncitor cu o calificare scazuta nu ar mai pleca din tara daca ar primi undeva la  3.500 – 4.500  de lei pe luna, avand in vedere ca muncitorii specializati, cum ar fi electricienii, castiga deja peste acest nivel in Romania“."
255802,"Avea un serviciu de noapte la uzină, înregistra ceva acolo.","Avea un serviciu de noapte la uzina, inregistra ceva acolo."
181158,"Anul trecut,  cei mai mulți pasageri care au tranzitat aeroportul Otopeni au călătorit pe ruta București - Londra sau invers, capitala Marii Britanii rămânând și în acest an pe primul loc în topul destinațiilor de pe cel mai mare aeroport din România.","Anul trecut,  cei mai multi pasageri care au tranzitat aeroportul Otopeni au calatorit pe ruta Bucuresti - Londra sau invers, capitala Marii Britanii ramanand si in acest an pe primul loc in topul destinatiilor de pe cel mai mare aeroport din Romania."
108566,"lei, o acțiune TLV fiind tranzacționată ieri-dimineață la 2,36 lei, în creștere cu 0,43%.  Banca Transilvania are o pondere de 21% din structura BET, cel mai ridicat procentaj din rândul celor 13 emitenți care compun indicele bursier românesc.","lei, o actiune TLV fiind tranzactionata ieri-dimineata la 2,36 lei, in crestere cu 0,43%.  Banca Transilvania are o pondere de 21% din structura BET, cel mai ridicat procentaj din randul celor 13 emitenti care compun indicele bursier romanesc."
187473,Nu merită! Doar nu le iei cu tine în mormînt!“ De un asemenea inventar sapiențial se folosește mai tot omul.,Nu merita! Doar nu le iei cu tine in mormint!“ De un asemenea inventar sapiential se foloseste mai tot omul.
358647,"Fețe întunecate, arse de soarele secerișului și muncilor de vară.","Fete intunecate, arse de soarele secerisului si muncilor de vara."
30405,"„Noi voiam să aflăm ce s-a întâmplat în acea noapte, aceste întâlniri contra naturii” Citește și Trump anunță „opțiunea inevitabilă” pentru Coreea de Nord.","„Noi voiam sa aflam ce s-a intamplat in acea noapte, aceste intalniri contra naturii” Citeste si Trump anunta „optiunea inevitabila” pentru Coreea de Nord."
33885,"Potrivit sursei citate, aceasta este cea mai scăzută temperatură din septembrie 2017.","Potrivit sursei citate, aceasta este cea mai scazuta temperatura din septembrie 2017."
86608,"Marea deconectare: semnalele de criză abundă în economia globală, însă euforia investitorilor este la cote maxime.","Marea deconectare: semnalele de criza abunda in economia globala, insa euforia investitorilor este la cote maxime."
94353,Decizia marchează o accelerare a planurilor de reducere treptată a numărului de autovehicule poluante și trecere la cele electrice într-un oraș adesea obligat să impună interdicții temporare din cauza gradului ridicat de poluare.,Decizia marcheaza o accelerare a planurilor de reducere treptata a numarului de autovehicule poluante si trecere la cele electrice intr-un oras adesea obligat sa impuna interdictii temporare din cauza gradului ridicat de poluare.
8005,"Însă, Ponta a ținut să precizeze că nu a discutat niciun moment cu George Maior despre partidul pe care intenționează să-l înființeze.","Insa, Ponta a tinut sa precizeze ca nu a discutat niciun moment cu George Maior despre partidul pe care intentioneaza sa-l infiinteze."
222444,"De bănetul acesta a zăpsit unul Lungoci, care într-o noapte l-a furat.","De banetul acesta a zapsit unul Lungoci, care intr-o noapte l-a furat."
327709,Doi voinici Cu caii sumeți... Cu caii fugari.,Doi voinici Cu caii sumeti... Cu caii fugari.
52673,"În 1946, inculpații condamnați la moarte în procesul de la Nürnberg au fost executați.","In 1946, inculpatii condamnati la moarte in procesul de la Nurnberg au fost executati."
179508,"13:22 Halep - Siniakova 6-1, 1-3! Iată ce se întâmplă: Simona se relaxează după un set impresionant și cedează inițiativa la prima minge de break a adversarei! 13:17 Halep - Siniakova 6-1, 1-2! Cehoaica pune ceva mai multă presiune pe umerii româncei în actul al doilea, câștigând un nou game de serviciu, la 30.","13:22 Halep - Siniakova 6-1, 1-3! Iata ce se intampla: Simona se relaxeaza dupa un set impresionant si cedeaza initiativa la prima minge de break a adversarei! 13:17 Halep - Siniakova 6-1, 1-2! Cehoaica pune ceva mai multa presiune pe umerii romancei in actul al doilea, castigand un nou game de serviciu, la 30."
5958,"În București, Wargha Enayati investește 40 de milioane de euro într-un complex de lux pentru seniori, de fapt un hotel cu de toate, începând de la parteneri de discuție, călătorii, business și până la servicii de sănătate.","In Bucuresti, Wargha Enayati investeste 40 de milioane de euro intr-un complex de lux pentru seniori, de fapt un hotel cu de toate, incepand de la parteneri de discutie, calatorii, business si pana la servicii de sanatate."
165473,"Dar putem observa că nu e chiar așa, văzând ce (nu) s-a făcut în ultimii ani.","Dar putem observa ca nu e chiar asa, vazand ce (nu) s-a facut in ultimii ani."
201028,Detalii de abonare la ZF Corporate: Alexandru Matei (tel.,Detalii de abonare la ZF Corporate: Alexandru Matei (tel.
79563,"Dacă până acum am avut parte de siguranță și liniște în această țară este pentru că serviciile de informații implicate în zona AntiTero, și-n special SRI, -și-au făcut treaba foarte bine.","Daca pana acum am avut parte de siguranta si liniste in aceasta tara este pentru ca serviciile de informatii implicate in zona AntiTero, si-n special SRI, -si-au facut treaba foarte bine."
57552,Oltchim a încheiat sau preconizează că va încheia în această săptămână contracte de vânzare de active cu Chimcomplex pentru pachetele de active nr.,Oltchim a incheiat sau preconizeaza ca va incheia in aceasta saptamana contracte de vanzare de active cu Chimcomplex pentru pachetele de active nr.
12680,"Asta înseamnă măsuri de excepție, mai ales cele pe care le-am anunțat conform legii și protocolului.","Asta inseamna masuri de exceptie, mai ales cele pe care le-am anuntat conform legii si protocolului."
131783,"  BRD -  SocGen (bancar)- 7.700 de angajați „Conducerea băncii a anunțat întreg personalul BRD în legătură cu intenția sa de a realoca fondurile care vor fi disponibile ca urmare a scăderii contribuțiilor angajatorului, cu scopul de a compensa creșterea contribuțiilor salariatului, în asa fel încât drepturile salariale nete să rămâna neschimbate.","  BRD -  SocGen (bancar)- 7.700 de angajati „Conducerea bancii a anuntat intreg personalul BRD in legatura cu intentia sa de a realoca fondurile care vor fi disponibile ca urmare a scaderii contributiilor angajatorului, cu scopul de a compensa cresterea contributiilor salariatului, in asa fel incat drepturile salariale nete sa ramana neschimbate."
242660,"Nu mă face să te-aștept prea mult: mai am și alte treburi, nu numa grija dumitale.","Nu ma face sa te-astept prea mult: mai am si alte treburi, nu numa grija dumitale."
183452,"Romeo Dunca, șeful transportatorului Dunca: Găsim tot mai greu șoferi profesioniști, din ce în ce mai mulți pleacă la muncă în străinătate Romeo Dunca, șeful companiei de transport de marfă Dunca Expediții, una dintre cele mai mari de pe piața locală, un business de 38 de milioane de euro, spune că afacerile din primul trimestru din acest an au fost similare cu cele din primele luni ale anului trecut.","Romeo Dunca, seful transportatorului Dunca: Gasim tot mai greu soferi profesionisti, din ce in ce mai multi pleaca la munca in strainatate Romeo Dunca, seful companiei de transport de marfa Dunca Expeditii, una dintre cele mai mari de pe piata locala, un business de 38 de milioane de euro, spune ca afacerile din primul trimestru din acest an au fost similare cu cele din primele luni ale anului trecut."
141707,"Activele imobiliare au în continuare cea mai mare pondere în structura avuției nete a românilor, cu toate că tendința a fost descendentă față de anii de boom economic, scăderea fiind determinată de ajustările de preț înregistrate în anii de criză.","Activele imobiliare au in continuare cea mai mare pondere in structura avutiei nete a romanilor, cu toate ca tendinta a fost descendenta fata de anii de boom economic, scaderea fiind determinata de ajustarile de pret inregistrate in anii de criza."
123336,"Anul trecut, compania a anunțat construirea celei de-a doua fabrici din Ungaria și a unei fabrici de motoare în Polonia cu investiții de 500 de milioane de dolari în prima fază.","Anul trecut, compania a anuntat construirea celei de-a doua fabrici din Ungaria si a unei fabrici de motoare in Polonia cu investitii de 500 de milioane de dolari in prima faza."
158634,fix: 0318.256.286) sau trimiteți un email cu datele dumneavoastră de contact prin care solicitați informații și abonare la adresa alexandru.matei@zf.ro. Veți fi contactat în maximum o oră.,fix: 0318.256.286) sau trimiteti un email cu datele dumneavoastra de contact prin care solicitati informatii si abonare la adresa alexandru.matei@zf.ro. Veti fi contactat in maximum o ora.
203076,Prea vezi lucrurile în negru.,Prea vezi lucrurile in negru.
291222,"Spune ce pedeapsă se cuvine acelui tiran burduhos și buzat care, pentru lăcomiile lui, calcă în picioare tinereța și viața unei copile?","Spune ce pedeapsa se cuvine acelui tiran burduhos si buzat care, pentru lacomiile lui, calca in picioare tinereta si viata unei copile?"
130358,Raportul de date statistice privind piața de comunicații electronice din România pentru prima jumătate a anului 2017 este realizat de ANCOM pe baza datelor statistice raportate semestrial de furnizorii care au obligația de a transmite către ANCOM valorile indicatorilor corespunzători categoriilor de servicii.,Raportul de date statistice privind piata de comunicatii electronice din Romania pentru prima jumatate a anului 2017 este realizat de ANCOM pe baza datelor statistice raportate semestrial de furnizorii care au obligatia de a transmite catre ANCOM valorile indicatorilor corespunzatori categoriilor de servicii.
269602,"Nu vorbise cu el într-o săptămînă, cît vorbise acum într-o nimica de vreme.","Nu vorbise cu el intr-o saptamina, cit vorbise acum intr-o nimica de vreme."
309638,cu toatele cînd erau la furcă ori la cusătură.,cu toatele cind erau la furca ori la cusatura.
280206,Se cuvenea să găsesc o soluție pentru a-mi împăca profesorii și amorul propriu.,Se cuvenea sa gasesc o solutie pentru a-mi impaca profesorii si amorul propriu.
175498,"Ar urma să fie abrogat și articolul 299 referitor la folosirea abuzivă a funcției în scop sexual, parlamentarii PSD considerând că „noțiunea de favoruri sexuale este o noțiune care nu poate fi determinată precis”.","Ar urma sa fie abrogat si articolul 299 referitor la folosirea abuziva a functiei in scop sexual, parlamentarii PSD considerand ca „notiunea de favoruri sexuale este o notiune care nu poate fi determinata precis”."
303509,"A iuțit pasul, a ajuns în vîrful colinei și a început apoi să coboare în goană.","A iutit pasul, a ajuns in virful colinei si a inceput apoi sa coboare in goana."
278819,Acela cu niște ochi alburii se tot uita ce fac jandarii.,Acela cu niste ochi alburii se tot uita ce fac jandarii.
315292,"Aș fi curios să cunosc viața d-nei Timotin, să văd dacă diagnoza mea, pusă dezinteresat, este adevărată.","As fi curios sa cunosc viata d-nei Timotin, sa vad daca diagnoza mea, pusa dezinteresat, este adevarata."
22858,Articol publicat în ediția tipărită a Ziarului Financiar din data de 19.09.2017.,Articol publicat in editia tiparita a Ziarului Financiar din data de 19.09.2017.
350529,Îi era frică mereu că un trăsnet din senin îi va zdrobi toată truda vieții.,Ii era frica mereu ca un trasnet din senin ii va zdrobi toata truda vietii.
12461,"Asociațiile de magistrați reamintesc, în scrisoare, că reprezentanții Consiliului Superior al Magistraturii au amendat ferm, în anii trecuți, declarațiile unor politicieni, jurnaliști ori funcționari publici prin care aceștia criticau acțiunile DNA, iar CSM a apreciat atunci că astfel de declarații sunt acte care au afectat independența sistemului judiciar în ansamblul său.","Asociatiile de magistrati reamintesc, in scrisoare, ca reprezentantii Consiliului Superior al Magistraturii au amendat ferm, in anii trecuti, declaratiile unor politicieni, jurnalisti ori functionari publici prin care acestia criticau actiunile DNA, iar CSM a apreciat atunci ca astfel de declaratii sunt acte care au afectat independenta sistemului judiciar in ansamblul sau."
34598,"„În momentul în care începem să împingem colectarea, și începem să donăm această cantitate de lână încep apoi pe piață să se organizeze cei care o valorifică și atunci fiind o competiție deschisă prețurile încep să se miște și cu siguranță prețul va crește.","„In momentul in care incepem sa impingem colectarea, si incepem sa donam aceasta cantitate de lana incep apoi pe piata sa se organizeze cei care o valorifica si atunci fiind o competitie deschisa preturile incep sa se miste si cu siguranta pretul va creste."
364238,"Tatăl nu lăsa... sîngele să piară, că mi-l sprijinea În pahar.","Tatal nu lasa... singele sa piara, ca mi-l sprijinea In pahar."
356215,Primăvara cea verzie Cu cosița-i aurie Mi-au sosit voios în țeară... Ș-au adus o lună plină Ca s-o scalde în lumină.,Primavara cea verzie Cu cosita-i aurie Mi-au sosit voios in teara... S-au adus o luna plina Ca s-o scalde in lumina.
373146,Cobora cu ceva bani în punguța atîrnată de gît pe subt cămașă.,Cobora cu ceva bani in punguta atirnata de git pe subt camasa.
250853,De-ai fi văzut cum au jucat Copilele de împărat!,De-ai fi vazut cum au jucat Copilele de imparat!
160921,Declarație șoc a lui Erdogan la numai câteva zile după summitul G20 O echipă de români a creat softul primului magazin complet autonom din lume.,Declaratie soc a lui Erdogan la numai cateva zile dupa summitul G20 O echipa de romani a creat softul primului magazin complet autonom din lume.
16122,Ungaria Costurile de zi cu zi comparativ cu cele din Statele Unite ale Americii sunt cu 35% mai mici.,Ungaria Costurile de zi cu zi comparativ cu cele din Statele Unite ale Americii sunt cu 35% mai mici.
177373,"Antreprenorii români, cei care au rămas cu bani, încearcă să-i pună în mișcare în investiții imobiliare, de unde pot obține randamente mai mari decât din businessul propriu.","Antreprenorii romani, cei care au ramas cu bani, incearca sa-i puna in miscare in investitii imobiliare, de unde pot obtine randamente mai mari decat din businessul propriu."
325550,Aspectele impresionante din finala competiției au fost filmate.,Aspectele impresionante din finala competitiei au fost filmate.
95851,"Design-ul si specificatiile cladirii se vor situa, ca in cazul tuturor proiectelor noastre, la cel mai inalt nivel de performante si vor raspunde complet asteptarilor si nevoilor ING.","Design-ul si specificatiile cladirii se vor situa, ca in cazul tuturor proiectelor noastre, la cel mai inalt nivel de performante si vor raspunde complet asteptarilor si nevoilor ING."
339800,"Dar aseară, pe-nserat... Mînătorul (ce-a făcut? Lapte dulce c-a băut).","Dar aseara, pe-nserat... Minatorul (ce-a facut? Lapte dulce c-a baut)."
353411,"La crîșma aceea a lui Antohi, în ulița săidăcarilor, erau două odăi deosebite.","La crisma aceea a lui Antohi, in ulita saidacarilor, erau doua odai deosebite."
144651,"În remarcile sale, Putin întinde ”o ramură de măslin” administrației Trump.Performanța recentă a pieței economice americane ”vorbește despre încrederea investitorilor în economia americană, ceea ce înseamnă că aceștia au încredere în ce face președintele Trump”, susține Putin.","In remarcile sale, Putin intinde ”o ramura de maslin” administratiei Trump.Performanta recenta a pietei economice americane ”vorbeste despre increderea investitorilor in economia americana, ceea ce inseamna ca acestia au incredere in ce face presedintele Trump”, sustine Putin."
213709,"lei, un profit net de 1,4 mil.","lei, un profit net de 1,4 mil."
120121,"Decathlon estimează afaceri de 200 de milioane de euro și vrea să deschidă înca două magazine până până la finalul anului astăzi, 13:25 Autor: Ioana Matei Afacerile retailerului francez de articole sportive Decathlon Romania vor ajunge la 200 de milioane de euro pânã la finalul anului, potrivit lui Jean Francois Mace, CEO-ul Decathlon Romania.","Decathlon estimeaza afaceri de 200 de milioane de euro si vrea sa deschida inca doua magazine pana pana la finalul anului astazi, 13:25 Autor: Ioana Matei Afacerile retailerului francez de articole sportive Decathlon Romania vor ajunge la 200 de milioane de euro pana la finalul anului, potrivit lui Jean Francois Mace, CEO-ul Decathlon Romania."
334093,"Mult îi plăcea copilei... Să fugă rătăcită de-a lung, de-a lung pe maluri, Atrasă-n cursul apei de-a rîurilor valuri.","Mult ii placea copilei... Sa fuga ratacita de-a lung, de-a lung pe maluri, Atrasa-n cursul apei de-a riurilor valuri."
165386,"Permiteți-mi să vă reamintesc, domnule Hostiuc, un alt adevăr general valabil: un copil se face în doi.","Permiteti-mi sa va reamintesc, domnule Hostiuc, un alt adevar general valabil: un copil se face in doi."
282892,Ochii cei mai veseli ascund lacrimi arzătoare.,Ochii cei mai veseli ascund lacrimi arzatoare.
352066,Unde se pomenea trotuar sau bulevard pe acel timp!,Unde se pomenea trotuar sau bulevard pe acel timp!
193884,"Halep și-a câștigat, apoi, serviciul de trei ori și a reușit, în cele din urmă, și break-ul, scor 4-5.","Halep si-a castigat, apoi, serviciul de trei ori si a reusit, in cele din urma, si break-ul, scor 4-5."
62111,"Toate produsele din campanie vor putea fi achiziționate și în rate fără dobândă, prin intermediul cardurilor partenere.","Toate produsele din campanie vor putea fi achizitionate si in rate fara dobanda, prin intermediul cardurilor partenere."
100267,Mai mult de jumătate dintre cei 40 de economiști intervievați în cadrul studiului sunt convinși că Jerome Powell va fi numit de președintele Donald Trump în locul lui Janet Yellen în contextul în care mandatul acesteia se încheie la 1 februarie 2018..,Mai mult de jumatate dintre cei 40 de economisti intervievati in cadrul studiului sunt convinsi ca Jerome Powell va fi numit de presedintele Donald Trump in locul lui Janet Yellen in contextul in care mandatul acesteia se incheie la 1 februarie 2018..
362449,"Vă rugăm să ne-arătați Care este gazda solilor: Să iasă, să ne dăm soliile.","Va rugam sa ne-aratati Care este gazda solilor: Sa iasa, sa ne dam soliile."
39317,Angajatorii: Ce facem cu angajații care lucrează pe teren? Obligația angajatorului de a ține la locul de muncă o evidență a orelor de început și de sfârșit ale programului zilnic al fiecărui angajat și păstrarea unei copii a con­tractului de muncă la sediu sunt două dintre modifi­cările Codului muncii care au dat bătăi de cap directorilor de reusurse umane în ultimele două luni.,Angajatorii: Ce facem cu angajatii care lucreaza pe teren? Obligatia angajatorului de a tine la locul de munca o evidenta a orelor de inceput si de sfarsit ale programului zilnic al fiecarui angajat si pastrarea unei copii a con­tractului de munca la sediu sunt doua dintre modifi­carile Codului muncii care au dat batai de cap directorilor de reusurse umane in ultimele doua luni.
100114,"Astfel, tinerii țin seama mai mult de familie sau prieteni în această categorie (59% - 16-24 de ani, 65% - 25-34 de ani) și chiar de blogger/vloggeri (25% - 16-24 de ani), în timp ce adulții de peste 35 de ani au mai multă încredere în specialiști (74% - 35-44 de ani, 77% - 45-54 de ani).","Astfel, tinerii tin seama mai mult de familie sau prieteni in aceasta categorie (59% - 16-24 de ani, 65% - 25-34 de ani) si chiar de blogger/vloggeri (25% - 16-24 de ani), in timp ce adultii de peste 35 de ani au mai multa incredere in specialisti (74% - 35-44 de ani, 77% - 45-54 de ani)."
201982,"(A. M. S. ) ●  Într-un Top 10 al celor mai mari venituri obținute din cărți anul trecut în Marea Britanie se află un singur scriitor bărbat, Haruki Murakami, pe locul 6.","(A. M. S. ) ●  Intr-un Top 10 al celor mai mari venituri obtinute din carti anul trecut in Marea Britanie se afla un singur scriitor barbat, Haruki Murakami, pe locul 6."
64974,"Spre exemplu, între Q1 2008 și Q1 2005 a fost o creștere de peste 200%, de la 800 la 2.200 de euro pentru un metru pătrat util.","Spre exemplu, intre Q1 2008 si Q1 2005 a fost o crestere de peste 200%, de la 800 la 2.200 de euro pentru un metru patrat util."
44551,"În fine, sectorul de servicii „va continua să crească rapid, unele din cele mai performante sectoare fiind trasportul internațional (pe măsură ce comerțul internațional își continuă revenirea), IT (criza de personal e mai puțin stringentă decât în restul Europei Centrale) și comerțul cu amănuntul (stimulat de creșterile salariale)”.","In fine, sectorul de servicii „va continua sa creasca rapid, unele din cele mai performante sectoare fiind trasportul international (pe masura ce comertul international isi continua revenirea), IT (criza de personal e mai putin stringenta decat in restul Europei Centrale) si comertul cu amanuntul (stimulat de cresterile salariale)”."
238465,"Importul este cîteodată din grîu... pături de Brașov, cînepă melițată, ștreanguri.","Importul este citeodata din griu... paturi de Brasov, cinepa melitata, streanguri."
268948,"Mare nedreptate, dom\'le prefect! A rămas și satul fără învățător!","Mare nedreptate, dom\'le prefect! A ramas si satul fara invatator!"
346401,Discuții pe tema pregătirii profesionale.,Discutii pe tema pregatirii profesionale.
154839,CCR a decis că DNA nu avea competența de a ancheta emiterea ordonanței.,CCR a decis ca DNA nu avea competenta de a ancheta emiterea ordonantei.
158318,"Pentru a putea avea acces la informatii trebuie să vă abonați la ZF Corporate sau la unul din cele 12 fluxuri ale sale, profilate pe sectoare de activitate (Bănci, Retail, Agricultură, Energie și altele) - vezi prezentarea video a ZFCorporate .","Pentru a putea avea acces la informatii trebuie sa va abonati la ZF Corporate sau la unul din cele 12 fluxuri ale sale, profilate pe sectoare de activitate (Banci, Retail, Agricultura, Energie si altele) - vezi prezentarea video a ZFCorporate ."
38053,"Medicii care doresc să profeseze în străinătate pot obține de la Colegiul Medicilor fie certificatul profesional curent (pentru medicii membri al CMR), fie adeverința care atestă că nu sunt membri ai Colegiului, în cazul medicilor care îndeplinesc această condiție, au  mai transmis oficialii CMR.","Medicii care doresc sa profeseze in strainatate pot obtine de la Colegiul Medicilor fie certificatul profesional curent (pentru medicii membri al CMR), fie adeverinta care atesta ca nu sunt membri ai Colegiului, in cazul medicilor care indeplinesc aceasta conditie, au  mai transmis oficialii CMR."
148907,"Părinții, reprezentanții legali sau, după caz, persoanele care se ocupă de creșterea și îngrijirea unui copil au obligația să asigure prezentarea acestuia la medicul de familie pentru vaccinare.","Parintii, reprezentantii legali sau, dupa caz, persoanele care se ocupa de cresterea si ingrijirea unui copil au obligatia sa asigure prezentarea acestuia la medicul de familie pentru vaccinare."
24104,"Cel mai frecvent este chistul seros, simplu, care apare în urma creșterii unui folicul ce nu se sparge pentru a elibera ovocitul.","Cel mai frecvent este chistul seros, simplu, care apare in urma cresterii unui folicul ce nu se sparge pentru a elibera ovocitul."
116619,"Vânzările zilnice de valută către clienți au fost în luna octombrie 2017 de aproape 1,3 mld.","Vanzarile zilnice de valuta catre clienti au fost in luna octombrie 2017 de aproape 1,3 mld."
283827,Eu nu dau ostrovul pentru asemenea faptă. Iac-așa!,Eu nu dau ostrovul pentru asemenea fapta. Iac-asa!
80911,"„Solicităm să dispuneți condamnarea fiecăruia din cei doi inculpați, Ghiță Sebastian și Bădescu Iulian, la pedeapsa închisorii, orientarea către maximum a pedepselor impuse de lege”, a solicitat procurorul la ultimul termen al procesului de la Înalta Curte de Casație și Justiție (ÎCCJ).","„Solicitam sa dispuneti condamnarea fiecaruia din cei doi inculpati, Ghita Sebastian si Badescu Iulian, la pedeapsa inchisorii, orientarea catre maximum a pedepselor impuse de lege”, a solicitat procurorul la ultimul termen al procesului de la Inalta Curte de Casatie si Justitie (ICCJ)."
8590,"În Marea Britanie standardul este de 100 de euro pentru primul copil și apoi crește la cel de-al doilea și al treilea cu câte 65 de euro, a susținut Oprea.","In Marea Britanie standardul este de 100 de euro pentru primul copil si apoi creste la cel de-al doilea si al treilea cu cate 65 de euro, a sustinut Oprea."
268045,Năruituri de bolovani.,Naruituri de bolovani.
174709,Ea a învățat de la părinții ei că să cheltui bani nu este ceva atât de important.,Ea a invatat de la parintii ei ca sa cheltui bani nu este ceva atat de important.
294294,Un voinic... P-un căluț de la Buzău Suie drumul.,Un voinic... P-un calut de la Buzau Suie drumul.
186014,"Aș putea, cu datele pe care le am despre viața și firea ta, să-ți dovedesc că «pesimismul» tău nu e de loc sincer.","As putea, cu datele pe care le am despre viata si firea ta, sa-ti dovedesc ca «pesimismul» tau nu e de loc sincer."
347918,"Mașina avea să-l înfunde iarăși în satul tătăresc, cu bordeie strîmbe și oarbe de lut, cu împrejmuirile de tizic.","Masina avea sa-l infunde iarasi in satul tataresc, cu bordeie strimbe si oarbe de lut, cu imprejmuirile de tizic."
52851,"Magazinele de produse farmaceutice, florăriile online și e-shop-urile de cadouri, în schimb, au cea mai mică pondere din totalul livrărilor achitate cu cardul.","Magazinele de produse farmaceutice, florariile online si e-shop-urile de cadouri, in schimb, au cea mai mica pondere din totalul livrarilor achitate cu cardul."
389826,"Pe un scaun, pregătit dinainte, un lighean mare de tablă nesmălțuit; alături, pe alt scaun, o căldare cu apă, o cană, un săpun și prosop.","Pe un scaun, pregatit dinainte, un lighean mare de tabla nesmaltuit; alaturi, pe alt scaun, o caldare cu apa, o cana, un sapun si prosop."
13703,"Dragoș Neacșu, șeful Erste Asset Management: Românii se iau după ureche când vor să facă o investiție 6 iul 2017 Autor: Liviu Popescu Dragoș Neacșu, șeful Erste AM, administrează active de 7,9 mld.","Dragos Neacsu, seful Erste Asset Management: Romanii se iau dupa ureche cand vor sa faca o investitie 6 iul 2017 Autor: Liviu Popescu Dragos Neacsu, seful Erste AM, administreaza active de 7,9 mld."
134512,Este o combinație greu de egalat.,Este o combinatie greu de egalat.
254686,"Și plîngînd înfrînă calul. Calul ei cel alb ca neaua, Îi netează mîndra coamă Și plîngind îi pune șaua.","Si plingind infrina calul. Calul ei cel alb ca neaua, Ii neteaza mindra coama Si plingind ii pune saua."
76992,"La Paris, Le Grand Palais, cu vastele-i cupole transparente, s-a constituit într-un loc privilegiat pentru neașteptatul succes al ciclului Monumenta care a reunit evenimente „hénaurmes“, cum spunea Alfred Jarry, semnate de artiști ca Anselm Kiefer, Christian Boltanski, soții Kabakov, Kapoor, toți partizani ai dilatării maximale, ai depășirii limitelor tradițional respectate.","La Paris, Le Grand Palais, cu vastele-i cupole transparente, s-a constituit intr-un loc privilegiat pentru neasteptatul succes al ciclului Monumenta care a reunit evenimente „henaurmes“, cum spunea Alfred Jarry, semnate de artisti ca Anselm Kiefer, Christian Boltanski, sotii Kabakov, Kapoor, toti partizani ai dilatarii maximale, ai depasirii limitelor traditional respectate."
386438,"Frățioare, ce ești scîrbit? Ori boii i-ai prăpădit?","Fratioare, ce esti scirbit? Ori boii i-ai prapadit?"
171757,Continuarea pe ZFCorporate   ZF Corporate este serviciul de business intelligence al Ziarului Financiar.,Continuarea pe ZFCorporate   ZF Corporate este serviciul de business intelligence al Ziarului Financiar.
381592,Birou de plasare.,Birou de plasare.
133869,fix: 0318.256.286) sau trimiteți un email cu datele dumneavoastră de contact prin care solicitați informații și abonare la adresa alexandru.matei@zf.ro. Veți fi contactat în maximum o oră.,fix: 0318.256.286) sau trimiteti un email cu datele dumneavoastra de contact prin care solicitati informatii si abonare la adresa alexandru.matei@zf.ro. Veti fi contactat in maximum o ora.
164708,"Bărbatul de 71 de ani l-a lovit pe protestatar, iar acesta a ripostat și l-a lovit, la rândul lui, cu pumnul în față.","Barbatul de 71 de ani l-a lovit pe protestatar, iar acesta a ripostat si l-a lovit, la randul lui, cu pumnul in fata."
171091,"„Pentru a obține un echilibru între consumul și producția de energie până în 2030, construirea altor surse majore nu va fi necesară“, se arată într-un raport al ministerului economiei.","„Pentru a obtine un echilibru intre consumul si productia de energie pana in 2030, construirea altor surse majore nu va fi necesara“, se arata intr-un raport al ministerului economiei."
