	Score	Sent1	Sent2
1165	4.0	Un barbat calarind un cal alb intr-o arena.	Un barbat calarind un cal alb.
1166	2.2	Un tren stand pe sine langa un camp.	Un tren calatorind pe sine.
1167	0.4	O femeie si un copil mic stand la o masa zambind la aparatul foto.	O pisica mica stand pe o grinda de lemn uitandu-se in sus catre aparatul foto.
1168	0.4	O statuie a lui Buddha sta pe o masa cu un ornament de masa din lemn.	O pasare stand pe un gard din lemn.
1169	0.0	Doua autobuze rosii conducand in fata unei gradini.	Tren intrand intr-o statie.
1170	3.8	Vaci pascand intr-un camp acoperit cu zapada.	Cinci vaci pascand intr-un camp acoperit cu zapada.
1171	1.8	Un barbat calarind un cal alb.	O femeie calarind un cal maro.
1172	3.2	Barbat cu camasa albastra stand in fata unei fantani.	Un barbat in camasa albastra si pantaloni cafenii sta in fata unei statui a unui barbat, care se afla intr-o piata pavata cu piatra cubica.
1173	4.0	O fata in echipament de calarie sta calare pe un cal maro.	O fata intr-o camasa rosie calareste un cal maro.
1174	4.2	Un scaun transparent din plastic in fata unui biblioteci.	un scaun transparent din plastic in fata rafturilor de carti.
1175	3.0	Un caine poarta o jacheta gri.	Un caine stand intr-o jacheta pentru animale de companie.
1176	4.0	O oaie sta pe marginea unui deal.	O oaie mare stand pe un deal.
1177	3.8	O vaca alb-neagra stand intr-un camp ierbos.	o vaca alb-neagra stand intr-un camp.
1178	1.0	O femeie intr-un sutien bikini negru si blugi.	O femeie cu o palarie neagra sta langa metrou.
1179	2.2	O fata calarind un cal maro.	Jocheul este imbracat in mov si calareste un cal maro.
1180	3.2	Barbat stand in fata unui corvette galben.	Un barbat sta langa o masina sport galbena.
1181	0.0	Un barbat stand pe iarba privind spre cer.	Barbatul sta pe trotuar in fata calului.
1182	2.8	Un barbat pozeaza in fata unei fantani mari cu o statuie deasupra.	Barbat cu camasa albastra stand in fata unei fantani.
1183	0.4	O pisica alba stand pe un covor.	O oaie stand intr-o padure.
1184	5.0	Un TV cu ecran plat pe podea.	Un TV cu ecran plat asezat pe podea.
1185	0.0	Doi cai maro stand intr-un camp ierbos.	Doi barbati navigand intr-o barca mica cu panze.
1186	1.4	Doua oi stau in pragul unei intrari.	Doi berbeci stau pe pamant inzapezit.
1187	4.0	Camera cu cateva monitoare de calculator.	O camera cu patru monitoare de calculator pe un rand.
1188	0.4	O coada in fata unei librarii pe o strada.	Motocicleta galbena este parcata pe strada.
1189	1.8	Un avion de pasageri cu reactie sta pe o pista de decolare.	Un avion de pasageri mare cu reactie zburand aproape de sol.
1190	0.4	Sticla veche verde asezata pe o masa.	Trei barbati in costume stand la o masa.
1191	3.0	Doi cai albi privind peste gard.	Doi cai stand intr-un tarc.
1192	0.0	Vacile alb-negre se opresc in fata portii.	Avionul alb zboara pe cer.
1193	4.0	O vaca alb-neagra stand intr-un camp ierbos.	O vaca alb-neagra cu coarne stand pe un camp.
1194	4.2	o fotografie alb-negru a unei pisici ce sta jos.	O imagine alb-neagra a unei pisici asezate pe un covor.
1195	4.2	Un barbat si o femeie stau, zambind pentru aparatul foto.	Un barbat si o femeie pozeaza pentru aparatul foto.
1196	3.0	O pisica alb-portocalie adormita pe un scaun din piele.	O pisica roscata stand pe un scaun de birou.
1197	1.6	O pisica alba stand pe un covor.	O pisica cu dungi albe cu capul atarnand peste masa.
1198	0.2	Pisoi de casa alb-gri culcat pe un birou.	Un barbat si bicicleta lui asezati pe iarba verde.
1199	0.0	O femeie pozand in fata unui bloc inzapezit.	Autobuzul alb parcat in iarba in fata cladirii.
1200	4.6	O tanara cu o bratara poarta un sutien bikini si blugi.	O femeie purtand blugi, un sutien bikini negru si o bratara.
1201	0.0	O masa si scaune sunt intr-o camera cu o imagine pe perete si un ventilator de tavan.	Un autobuz scolar mergand pe un drum cu copaci verzi si iarba pe fundal.
1202	3.4	Un barbat sta cu picioarele incrucisate pe un pat urmarind un televizor mic.	Un barbat sta pe un pat foarte aproape de un televizor mic.
1203	4.2	Farurile de la o masina albastra.	Prim-plan al farurilor unei masini albastre.
1204	2.4	Un tren de pasageri intrand intr-o statie.	Un tren de pasageri sta in statie.
1205	0.0	Un avion orientat catre aparatul foto.	O vaca sta singura in frigul curtii.
1206	3.2	O femeie calarind un cal maro.	O persoana imbracata in alb pe un cal maro.
1207	3.8	un jocheu calarind un cal.	Un jocheu care calareste un cal intr-un tarc.
1208	3.4	Cei doi caini se amesteca printre animalele de plus.	Doi caini stau pe o canapea cu multe animale de plus.
1209	4.0	Un tren circula pe sine.	Un tren circula pe sinele dintr-o zona rurala.
1210	4.4	Cineva stand pe un munte inzapezit, privind un avion.	Un barbat sta pe un munte, urmarind un avion.
1211	3.2	O pasare da din aripi in apa.	O pasare neagra mare sta in apa.
1212	3.2	O nava de croaziera acostata intr-un port.	O nava de croaziera a fost acostata pe o coasta.
1213	2.0	Un autobuz rosu cu etaj pe o strada aglomerata.	Un autobuz alb partial in zapada pe o strada publica.
1214	4.8	O femeie mangaie un caine intr-o zona ingradita.	O femeie mangaie un caine intr-o curte inchisa.
1215	2.2	O pisica alb-neagra jucandu-se cu o patura.	O pisica alb-neagra intra intr-un cos de paie.
1216	3.2	Un barbat pe o bicicleta de munte coborand pe o panta.	Acesta este un barbat ce merge cu o bicicleta de munte peste stanci intr-o zi senina.
1217	3.8	O pisica se sprjina pe un scaun de birou.	O pisica roscata stand pe un scaun de birou.
1218	2.6	Un grup de cai pascand pe un camp.	Un cal brun pascand intr-un camp cu iarba verde.
1219	0.0	Un grup de oameni band ceva.	Un sir de locomotive pe o linie secundara de cale ferata dintr-un camp.
1220	0.0	Doi caini intr-o cusca ingradita privesc inainte.	Doua femei pozeaza intr-o sufragerie cu un bebelus.
1221	3.4	Trei oi pe un drum de pamant vazute dintr-un vehicul de calatori.	Trei oi in mijlocul unui drum cu pietris.
1222	1.0	Un avion galben cu albastru zboara pe cer.	Noua aeronave alb-rosii zburand in formatie lasand in urma fum.
1223	4.0	Trenul sta la gara.	Trenul albastru este la gara.
1224	0.0	Un tren stand pe sine aproape de un camp.	Un bebeluS sta in iarba.
1225	4.4	Autobuz rosu cu etaj luand pasageri.	Un autobuz rosu cu etaj preia mai multi pasageri intr-un oras.
1226	0.0	Doi baieti stau pe o canapea tinand beri cu o fata intinsa pe genunchii lor.	Doua femei cu biciclete uitandu-se pe strada pentru a vedea cand pot traversa.
1227	2.8	Doua femei in bucatarie privind un obiect.	Doua femei in bucatarie cu una din ele facand o poza.
1228	2.8	Un cal de cursa galopand fara calaret.	Un cal galopand in timp ce poarta numarul 4.
1229	0.8	Un tren cu aburi se deplaseaza spre aparatul foto.	O pasare de prada mare zburand spre aparatul foto.
1230	4.2	O fotografie alb-negru a unei sticle de Coca Cola.	Aceasta este o imagine alb-negru a unei sticle mici de Coca-Cola.
1231	3.2	O pasare mica cocotata pe o ramura inghetata.	O pasare galbena cocotata pe o ramura.
1232	3.2	Baiat cu ochelari tastand la un calculator.	Un baiat uitandu-se la un monitor de calculator.
1233	3.2	Un camion rosu isi invarte anvelopele in timp ce unul negru paraseste cadrul.	Camion rosu invartind-usi anvelopele si emitand fum din spate.
1234	2.4	O sufragerie cu masa, scaun si canapea alaturi de un palmier mare.	O sufragerie cu o canapea albastra, pat de tabara, banca din lemn si dulap.
1235	3.4	O femeie zambitoare tinand un bebelus mic.	o femeie asezata pe o canapea tinand un bebelus.
1236	0.0	O benzinarie Esso cu copaci in fundal.	Doi ofiteri de politie stand in spatele unei dube cu un autobuz in fundal.
1237	4.2	Patru avioane albastre cu galben zburand peste patru barci.	Patru avioane albastre cu galben in zbor.
1238	0.0	Un cal stand langa o poarta cu un alt cal in fundal.	Un grup de barje cu copaci in fundal.
1239	2.4	Trei sticle sunt pe o masa.	Sticla verde veche asezata pe o masa.
1240	1.4	O locomotiva cu abur coboara pe o calea ferata aproape de copaci.	Un tren este intr-o gara.
1241	4.2	Un tren este intr-o gara.	Un tren parcat intr-o gara.
1242	0.4	o femeie asezata pe o canapea tinand un bebelus.	Pasare stand pe un bustean intr-un lac.
1243	3.6	Doua pasari zburand spre alimentatorul de apa.	Doua pasari zburand langa hranitoare pentru pasari.
1244	1.6	Doua vaci stand intr-un camp mare.	Cal stand intr-un camp.
1245	4.0	Un grup de oi pascand pe un deal.	Un grup de oi se afla pe un deal.
1246	2.0	Un barbat sta in fata unui tren.	Un barbat stand in fata unei statui ridicate.
1247	4.4	Doua femei pozeaza pentru aparatul foto si fac gestul de deget mare ridicat.	Doua tinere zambitoare facand gestul de deget mare ridicat.
1248	4.8	O femeie tine un copil mic in timp ce sta pe o canapea.	o femeie asezata pe o canapea tinand un bebelus.
1249	4.0	Un autobuz United rosu cu etaj pe o strada a orasului.	Un autobuz rosu cu etaj mergand pe drum.
1250	1.0	Doua femei stand pe o canapea maro.	Doua femei stand in afara unui autobuz.
1251	3.2	O pisica cenusie cu ochii verzi uitandu-se in aparatul foto.	O pisica alba cu gri si negru privind la aparatul foto.
1252	0.0	Pasarea sta pe ramura.	Oaia sta sub copaci.
1253	3.8	Grup de oameni stand la o masa dintr-un restaurant.	Doi oameni stand la o masa dintr-un restaurant.
1254	2.4	O vaca alb-neagra sta pe iarba sub un cer albastru partial innorat.	Doua vaci alb-negre in spatele unei porti metalice sub unu cer albastru partial innorat.
1255	3.2	Un tip pe un cal alb.	Un barbat calarind un cal alb intr-o arena.
1256	4.6	Doua vaci de lapte band dintr-un iaz.	Doua vaci beau dintr-un iaz.
1257	2.4	Sunt cateva oi tunse intr-un tarc.	Trei oi albe intr-un tarc.
1258	5.0	Cainele negru sta intins in iarba.	Un caine negru sta pe iarba.
1259	4.2	Doi tineri stau la o masa langa o usa glisanta, cu o persoana aratand cu degetul spre cealalta.	Doi oameni stau fata in fata la o masa in timp ce unul arata cu degetul spre celalalt.
1260	2.2	Un barbat si o femeie tinandu-se de mana mergand de-a lungul plajei.	Un barbat cu barba si palarie si un baiat merg pe malul oceanului.
1261	1.2	Zece oi privind aparatul foto.	O pisica ce sta pe spate uitandu-se la aparatul foto.
1262	1.4	Un caine alb-negru privind aparatul foto.	O capra alb-neagra mica intr-un tarc privind aparatul foto.
1263	0.0	O masa neagra cu un scaun pufos alb.	O femeie cu copilul ei.
1264	2.2	Autobuz rosu cu etaj luand pasageri.	Un autobuz rosu cu etaj mergand pe o strada.
1265	3.4	Barca cu panze navigand pe apa.	Barca cu panze navigand intr-o zi innorata.
1266	4.2	O pasare albastra sta pe mana inmanusata a unei persoane.	O pasare este cocotata pe mana inmanusata a unei persoane.
1267	3.6	O fata calarind un cal alb-maro.	O fata calarind un cal maro.
1268	1.0	Un tren aproape tot negru pe o cale ferata.	O masina parcata in fata sinelor de tren.
1269	0.0	Un baiat tanar colorand cu un creion ros-albastru.	O blonda tanara in echipament de calarie sta deasupra unui cal alb cu gri.
1270	0.8	Un grup de oameni intr-o sufragerie.	Un grup de patru oameni trecand pe langa o ciuperca gigantica.
1271	0.0	O rata salbatica si o rata domestica alba pe iarba langa apa.	Un copil mic intr-o rochie roz sta pe o masa.
1272	0.0	Pisica sta intre doua biciclete in fata unei usi.	Un cal stand pe un camp in fata unui gard.
1273	0.0	O fata cu o geanta rosie stand pe strada.	Un caine negru se holbeaza la oaie.
1274	3.4	Un calaret calarind un cal alb.	O femeie conducand un cal alb.
1275	4.2	Un tren lung este pe sinele de tren.	Un tren pe sinele de tren.
1276	3.0	Un caine negru-cafeniu priveste o oaie neagra.	Un caine negru privind o oaie maro intr-un tarc.
1277	2.8	O camera cu cateva calculatoare si imagini pe perete.	Un birou cu trei monitoare de calculatoare si alte echipamente pe un birou.
1278	1.0	O fotografie alb-negru a unei vaci plimbandu-se pe sub un copac intr-un camp.	Un caine alb-negru uitandu-se la aparatul foto.
1279	4.2	Un AreoMexico Jet Liner argintiu stand pe pista.	Un avion argintiu aeromexico este pe o pista de decolare.
1280	3.4	un barbat pe o motocicleta de teren sarind foarte sus.	Un barbat pe o motocicleta sarind cu cerul in spatele lui.
1281	4.2	Doi oameni navigand pe o barca mica cu panze albe.	Cuplu navigand intr-o barca cu panze mici.
1282	0.8	Un avion alb este parcat pe ciment.	O motocicleta albastra este parcata pe trotuar.
1283	0.8	Trei vaci care pasc pe un camp.	Cateva oi pascand intr-un camp.
1284	4.8	Barbatul sta la o masa dezordonata si foloseste un laptop.	Un barbat sta uitandu-se la un laptop pe o masa dezordonata.
1285	3.0	O masa cu lumanari, vin si un ceainic.	O masa de lemn este aranjata cu lumanari, vin si un castron de plastic violet.
1286	3.2	Doi oameni vaslind la o canoe rosie sunt reflectati in apa linistita.	Doua persoane intr-o canoe rosie pe un lac limpede.
1287	3.8	O femeie imbracata sumar sta langa o masina.	O femeie imbracata sumar stand langa un vehicul mic rosu.
1288	2.2	Autobuz rosu cu etaj luand pasageri.	Autobuz rosu cu etaj cu capota sus.
1289	0.0	O statuie a lui Buddha tinand o lumanare sta pe o masa.	Un barbat pescuind pe o barca mica in timp ce se afla pe un lac.
1290	2.0	Trei persoane stand la o masa zambind la aparatul foto.	Doua femei batrane stau la o masa cu un barbat.
1291	2.8	Un tren multicolor pe o cale ferata.	Un tren aproape tot negru pe o cale ferata.
1292	2.2	Un autobuz alb-rosu mergand pe strada.	Autobuzul rosu este pe strada.
1293	3.2	Un avion ros-albastru zburand cu trenul de aterizare coborat.	Un avion de lupta din Al Doilea Razboi Mondial cu trenul de aterizare coborat.
1294	3.0	O barca mica coborand pe un parau.	o barca miscandu-se intr-un rau.
1295	3.0	Patru femei si doi barbati stau la o masa lunga intr-un restaurant.	Un grup de oameni stau la o masa intr-un restaurant italian.
1296	0.0	Doua capre stand intr-un camp langa un copac.	O barca mare tragand o barca mica alba.
1297	3.0	O fotografie alb-negru a unei camere de zi cu o fereastra mare, o canapea si un scaun.	O scena alb-neagra a unei camere bine mobilate, cu vedere spre o padure.
1298	3.6	Un prim-plan al unui cal maro cu un capastru albastru.	Un prim-plan al unui cal purtand un capastru albastru.
1299	2.6	O pasare neagra mare sta in apa.	Pasarile inoata in apa.
1300	3.4	Un prim-plan al unei pisici pe o canapea crem.	O pisica siameza sprijinita pe o canapea alba.
1301	2.25	O persoana sare cu bicicleta si efectueaza un truc.	O persoana mergand cu o motocileta de teren in aer liber.
1302	4.0	Un autobuz scolar galben este parcat intr-o zona rurala.	Un autobuz scolar galben parcat pe un camp.
1303	3.2	Un caine pug sta pe un scaun galben langa un tomberon verde.	Un bulldog asezat pe un scaun galben langa un recipient mare de deseuri.
1304	0.0	Femeia sta pe motocicleta rosie.	Oaia alba sta pe dealul verde.
1305	4.2	O oaie stand pe o masa la licitatie.	Oaia lanoasa la casa de licitatii.
1306	0.0	Un prim-plan al unei locomotive negre.	Prim-plan al unei oi albe cu un cap negru.
1307	4.0	O pisica alb-portocalie adormita pe un scaun din piele.	O pisica alb-portocalie stand pe o patura intr-un scaun din piele neagra.
1308	3.0	un tren merge pe sinele sale.	Trenul vine pe calea ferata intre doua randuri de copaci.
1309	3.8	Vaca alb-neagra stand pe campul ierbos.	O vaca alb-neagra cu coarne stand pe un camp.
1310	4.0	Un autobuz rosu United cu etaj pe o strada a orasului.	Un autobuz cu etaj merge pe o strada a orasului.
1311	2.6	Televizorul si biroul camerei de hotel cu iluminare la lampa.	Un televizor si un laptop sunt pornite in camera de hotel.
1312	2.8	Un barbat mergand cu o bicicleta mica.	Un barbat se ridica pe o roata pe o bicicleta.
1313	0.4	O femeie purtand o rochie bleumarin taie un tort pe o masa alba.	O persoana purtand casca sta pe bicicleta intr-o zi insorita.
1314	4.0	Un tren negru se deplaseaza pe caile ferate.	Un tren mergand pe caile ferate.
1315	1.0	O pictura in prim-plan a unei motociclete albe cu violet.	o pictura in prim-plan a unui birou cu un calculator si hartii pe el.
1316	3.8	O fata tanara calarind un cal maro.	O femeie calareste un cal maro.
1317	0.0	Doua femei in bucatarie privind un obiect.	Trei barbati in costume stand la o masa.
1318	2.2	Doua femei pozandu-se cu un bebelus.	O femeie pozeaza cu un bebelus.
1319	2.8	Un grup de oameni stand in jurul unei mese cu mancare.	Patru oameni stau intr-o sufragerie cu gustari.
1320	4.0	O motocicleta albastra este parcata pe trotuar.	Un moped albastru parcat pe trotuar.
1321	4.8	Un autobuz rosu cu etaj pe o strada a orasului.	Un autobuz rosu cu etaj mergand pe o strada.
1322	2.4	Doua trenuri in interiorul unei gari.	Trenul sta in gara.
1323	2.2	Un barbat calarind un cal alb.	O femeie cu un cal alb.
1324	2.2	Un barbat si doua femei zambind la aparatul foto in timp ce stau pe o canapea albastra.	Un barbat si o femeie zambind la aparatul foto in timp ce stau intr-o bucatarie.
1325	3.4	O nava de croaziera mare in port cu copaci in spate.	O nava de croaziera acostata pe o coasta.
1326	3.8	Doua vaci traversand o intersectie rutiera.	Doua vaci traverseaza o strada pavata.
1327	4.0	Cateva vaci pascand pe mijlocul unui drum.	Cinci vaci pascand pe un petic de iarba intre doua drumuri.
1328	4.2	O vaca neagra si o vaca maro stau intr-o campie in fata unui copac dezradacinat.	O vaca neagra si o vaca maro stand in fata unei mici dumbravi de copaci intr-un camp.
1329	3.6	Autobuz rosu cu etaj mergand pe strada.	Un autobuz cu etaj pe o strada a orasului.
1330	1.2	Vaca cafenie cu urechi etichetate pe un camp ierbos.	Persoana intr-un camp ierbos ingrijind oi.
1331	1.2	Un prim-plan a partii din fata a unei motociclete albe cu violet.	Prim-plan al partii din spate a unei masini de sport rosie.
1332	4.6	Doua femei cumparand de la un magazin de haine.	Doua femei intr-un magazin de haine.
1333	4.6	Un grup de oameni stand la o masa de restaurant.	Grup de oameni stand la o masa dintr-un restaurantului.
1334	0.0	Un prim-plan al unui cap de cal maro.	Un prim-plan al unui autobuz scolar galben.
1335	0.0	O persoana cu o sapca rosie stand langa o grinda de sustinere din caramida.	Un cal maro sta pe iarba si tufe.
1336	2.6	Un manz merge pe langa mama sa intr-un camp ierbos.	Prim-plan al uniui cal tanar plimbandu-se pe langa un cal mai mare.
1337	3.8	O femeie stand langa o vaca maro.	O femeie cu ochelari sta langa o vaca pe un camp.
1338	3.6	Un caine arunca o privire din spatele unui camion.	Un caine arunca o privire din spatele unei dubite.
1339	3.8	Femeie imbracata in rochie albastra taind mancare.	O femeie in rochie albastra taie un tort.
1340	3.6	Pisica alb-neagra se uita in sus spre aparatul foto.	O pisica alba cu negru si gri privind la aparatul foto.
1341	3.2	Doua fete brunete stau pe o motocicleta rosie cu galben cu o masina langa ele.	Un cuplu pozand pe o motocicleta galbena cu rosu.
1342	3.6	O mica pisica alba stand intr-o chiuveta.	Pisica gri cu ala stand in chiuveta din baie.
1343	3.6	Un barbat pe bancheta din spate a unei biciclete tandem rosii.	Un barbat este singur pe spatele unei biciclete tandem.
1344	4.0	Un calculator pe un birou.	Un calculator functionand pe un birou.
1345	1.6	Un copil mic zambind la aparatul foto.	Un copil mic sta pe un perete de ciment langa o floare alba.
1346	2.4	O pasare mica plutind in apa.	O rata plutind in apa.
1347	3.8	Un autobuz alb cu cuvantul Julia este aproape de apa si o nava mare.	Un autobuz alb cu apa si o barja in fundal
1348	2.6	Tren vechi alb-albastru pe sine.	Un tren albastru intr-o zona muntoasa.
1349	4.0	Barca galbena pe o plaja.	O barca galbena pe tarm.
1350	3.4	O bucatarie cu hartii asezate pe masa cu fata albastra de masa.	O bucatarie mica si o masa dezordonata cu o fata de masa albastra.
1351	3.8	Tren intr-o gara.	Trenuri in interiorul unei statii acoperite.
1352	4.0	O pisica cenusie sta pe bordura ferestrei privind aparatul foto.	Pisica sta pe pragul ferestrei privind aparatul foto.
1353	0.0	Barbat cantand la chitara in timp ce sta jos.	Autobuz alb-rosu mergand pe drum.
1354	4.2	Autobuz rosu cu etaj, mergand pe o strada.	Un autobuz cu etaj pe o strada a orasului.
1355	4.6	Trei vaci pasc intr-un camp ierbos.	Trei vaci pascand intr-un camp.
1356	2.25	Trenul maro sta pe sinele de cale ferata.	Trenul alb sta pe sine.
1357	0.4	O vaca alb-neagra cu coarne stand pe un camp.	O fotografie alb-negru a unei pisici stand pe o canapea.
1358	1.6	O fata mica blonda intr-o rochie albastra sta pe o masa langa mama ei.	O fata tanara blonda purtand o casca sta cu o bicicleta rosie in spatele ei.
1359	2.6	Un grup de oameni stand la o masa de restaurant.	Un grup de oameni stand in jurul unei mese pe o veranda.
1360	0.4	O vaca alb-neagra intr-un tarc cu fan.	O pisica alb-neagra sta pe pamant.
1361	3.2	Un autobuz rosu cu etaj.	Partea din fata si partea stanga a unui autobuz rosu cu etaj.
1362	3.2	O vedere de aproape a unui cap de cal.	O vedere laterala a unui cap de cal.
1363	3.2	O nava din lemn demodata in ocean.	Un iaht de lemn pe ocean.
1364	4.4	O oaie stand intr-o zona muntoasa.	O oaie mare stand pe un deal.
1365	4.8	Un avion alb pe pista de decolare.	Un avion alb este pe o pista de decolare.
1366	4.4	Un catel cafeniu fiind mangaiat.	Un catelus cafeniu tinut si mangaiat.
1367	3.8	Sala de mese eleganta cu mobilier din lemn.	O sala de mese eleganta roz cu mobilier din lemn.
1368	2.0	O femeie stand intinsa peste doi barbati ce stau pe o canapea.	Doi barbati in pantaloni scurti stau pe o canapea.
1369	3.6	doua motociclete pe o pista de pamant.	Doi motociclisti de teren mergand pe dealul de pamant.
1370	2.2	Pisica alb-neagra se uita in sus spre aparatul foto.	Un caine alb-negru privind aparatul foto.
1371	5.0	O pisica gri cu ochii verzi priveste aparatul foto.	O pisica cenusie cu ochii verzi uitandu-se in aparatul foto.
1372	0.2	Doi miei stau pe un deal ierbos.	Doi motociclisti de teren mergand pe dealul de pamant.
1373	3.0	Un barbat in alb cu o sticla de vin si o femeie in helanca rosie cu o vesta alba.	Un barbat si o femeie pozand pe un camp cu o sticla de vin.
1374	1.8	O vaca sta singura in frigul curtii.	o vaca alb-neagra stand pe camp.
1375	3.6	Un autobuz cu etaj merge pe o strada.	Un autobuz rosu cu etaj mergand pe o strada.
1376	1.8	Pisica alb-neagra mare sprijinindu-se pe un pervaz.	O pisica mica alba stand intr-o chiuveta.
1377	4.2	Baiat hranind o oaie.	Un baiat hranind o oaie cu fan.
1378	0.0	O fata intr-un desktop negru tine o cutie deschisa de fulgi de porumb si o cutie de lapte.	O fata purtand pantaloni scurti negri si cizme sta langa o motocicleta albastra.
1379	0.8	un prim-plan al unui cactus mic intr-un ghiveci.	un prim-plan al unei femei tinand un catelus alb.
1380	4.0	Oaia alba sta pe dealul verde.	O oaie sta pe marginea unui deal.
1381	0.0	O pasare alb-neagra pe un corp de apa cu iarba in fundal.	Un autobuz este pe o sosea cu o roata carusel in fundal.
1382	0.0	O bicicleta din lemn cu o prelata.	Un grup de oameni batrani stand in jurul unei mese.
1383	4.5	O fotografie alb-negru a unui gard din lemn darapanata.	O fotografie alb-negru a unui gard vechi din lemn langa o strada murdara.
1384	2.6	Doi cai maro stand intr-o pajiste verde.	Un cal maro sta in iarba inalta.
1385	1.6	Doi barbati purtand casti pentru biciclete.	Doi barbati stau cu bicicletele in afara unui magazin.
1386	3.4	Un barbat jucandu-se un joc video intr-un magazin.	Barbat jucandu-se un joc intr-un magazin.
1387	3.6	Un grup de oameni stand in jurul unei mese pe o veranda.	Un grup de oameni stand in jurul unei mese cu mancare pe ea.
1388	0.0	O tanara purtand o casca de bicicleta cu o bicicleta in fundal.	O femeie tine un caine mic cu o lesa avand scaune in fundal.
1389	5.0	partea din spate a unui indicator rutier de oprire cu multe stickere pe el.	Spatele indicatorului rutirer de oprire este impodobit cu stickere.
1390	4.0	O bicicleta este parcata in afara unei librarii.	O bicicleta verde parcata in afara unei librarii.
1391	4.4	un autobuz turistic maroniu cu etaj dublu pe o strada cu o roata carusel in spatele lui.	Un autobuz cu doua etaje deplasandu-se in fata unei roti de feribot.
1392	0.6	Un scaun alb-negru asezat in fata unui perete de caramida si o fereastra cu o planta de bambus intr-o vaza.	O oaie cu cap negru acoperita cu lana alba groasa sta intr-o pasune cu alte oi.
1393	3.6	Un barbat intr-o uniforma neagra pe un cal alb.	Un barbat in smoching pe un cal alb.
1394	4.0	Doua femei stau intr-o sufragerie cu un caine negru.	Doua femei stand in picioare intr-o sufragerie cu un caine negru privind spre camera.
1395	3.2	Doi oameni vaslind la o canoe rosie sunt reflectati in apa linistita.	Doi oameni vaslind intr-o canoe rosie cu copaci in fundal.
1396	4.0	O vedere in prim-plan al farurilor unei masini albastre de moda veche.	Prim-plan al farurilor unei masini albastre.
1397	2.4	Masini mergand pe langa un model de cladire.	Vehicule conducand in fata unei cladiri ornamentate.
1398	2.6	Un avion albastru cu portocaliu zburand cu trenul de aterizare coborat.	Un avion ros-albastru zburand cu trenul de aterizare coborat.
1399	4.0	O pisica alb-neagra intinsa pe o patura.	O pisica alb-neagra doarme pe o patura violet.
1400	0.2	O cladire cu un indicator temporar la intrarea din parcare.	Drum cu imaginea din spate a farurilor din spate ale unui autobuz.
1401	3.4	Un grup de oameni stand in jurul unei mese cu mancare.	Un grup de oameni stand in jurul unei mese pe o veranda.
1402	3.2	Un barbat si femei stand pe o canapea tinand un bebelus mic.	o femeie asezata pe o canapea tinand un bebelus.
1403	3.0	O pisica alb-neagra intinsa pe o patura.	O pisica alb-neagra dormind pe o parte pe o patura mov.
1404	1.8	O fotografie alb-negru a unei canapele cu doua locuri.	O fotografie alb-negru a unei biciclete.
1405	4.2	O sufragerie cu o masa in fundal.	Vedere a unei sufragerii cu o sala de mese in fundal.
1406	4.25	Un tren rosu cu gri trece printr-un tunel.	Un tren rosu cu gri strabate un tunel printre copaci.
1407	4.2	Autobuz rosu cu etaj cu capota deschisa.	Un autobuz vechi cu etaj Red London cu capota ridicata.
1408	1.8	Un barbat calarind un cal alb.	O femeie conducand un cal alb.
1409	3.8	Vedere a unei sufragerii cu o sala de mese in fundal.	O sufragerie cu canapele mari si o masa in fundal.
1410	0.8	Un pisoi portocaliu asezat pe o canapea de piele.	Cuplu tanar stand pe o canapea neagra.
1411	3.0	O persoana purtand o casca de bicicleta vorbeste pe un telefon mobil.	O persoana purtand o casca merge cu o bicicleta pe langa o cladire alba.
1412	3.6	Un tren de metrou intrand in gara.	Un tren alb intrand intr-o gara.
1413	3.8	O bicicleta este parcata langa un magazin.	O bicicleta verde parcata in afara unei librarii.
1414	0.0	Doi barbati stand pe plaja.	Doua femei stand in fata unui autobuz turistic.
1415	1.4	Caine cu parul lung negru stand intr-un camp ierbos.	O gaita albastra stand intr-un camp ierbos.
1416	0.2	Un birou mic cu scaun langa un dulap pentru rufe.	O camera cu pereti cafenii si o masina de spalat si uscator.
1417	4.6	Autobuz rosu cu etaj mergand printre strazi.	Autobuz rosu cu etaj mergand pe o strada.
1418	3.0	O gasca agitandu-si aripile intr-un corp de apa.	O lebada neagra agitandu-si aripile pe apa.
1419	4.4	Baiat stand pe o canapea cu caine.	Baiatul sta pe o canapea cu un catelus.
1420	5.0	O imagine alb-negru a unei pisici asezate pe un covor.	Imagine alb-negru a unei pisici asezate pe un covor.
1421	3.6	Un avion mare cu reactie pe pamant la aeroport.	Un avion mare parcat la aeroport in timpul noptii.
1422	0.0	Doua femei stau intr-o cafenea.	Doi barbati prinzand un peste intr-o mlastina.
1423	4.0	Opt sticle de lager Harp aliniate pe podea.	Opt sticle de bere Harp aliniate pe o podea din lemn.
1424	1.4	Un copil mic zambind la aparatul foto.	O pisica uitandu-se la aparatul foto.
1425	2.6	O femeie calarind un cal maro.	Persoana imbracata in albastru calarind un cal maro.
1426	3.2	fotografie a unui ecran de televizor aratand un film.	Televizorul cu ecran plat montat pe perete arata un film.
1427	4.2	O pasare cocotata pe un ghiveci de flori.	Pasare cocotata pe un ghiveci langa un perete cu stuc.
1428	3.4	Pisica alba stand in interiorul unei chiuvete.	Pisica alb-gri stand in chiuveta din baie.
